room_type,bedrooms,number_of_reviews,review_scores_value,price,amenities
Private room,1,1,2,$37.00,"[""Dedicated workspace"", ""Heating"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Long term stays allowed""]"
Private room,1,2,5,$37.00,"[""Oven"", ""Refrigerator"", ""Microwave"", ""Lock on bedroom door"", ""Hot water"", ""Heating"", ""Smoke alarm"", ""Free street parking"", ""Bed linens"", ""Kitchen"", ""Stove"", ""Hangers"", ""Cooking basics"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
Private room,1,0,,$37.00,"[""Dedicated workspace"", ""Heating"", ""Smoke alarm"", ""TV"", ""Kitchen"", ""Hangers"", ""Dryer"", ""Washer"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Air conditioning""]"
Private room,1,2,4,$37.00,"[""Dedicated workspace"", ""Heating"", ""Smoke alarm"", ""TV"", ""Kitchen"", ""Hangers"", ""Dryer"", ""Washer"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Air conditioning""]"
Private room,1,2,5,$37.00,"[""Shared garden or backyard"", ""Dedicated workspace"", ""Refrigerator"", ""Gym"", ""Heating"", ""Smoke alarm"", ""Patio or balcony"", ""TV"", ""Kitchen"", ""Outdoor furniture"", ""Hangers"", ""Dryer"", ""Washer"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Air conditioning""]"
Private room,1,0,,$37.00,"[""Dedicated workspace"", ""Refrigerator"", ""Lock on bedroom door"", ""Hot water"", ""Heating"", ""Bed linens"", ""Hangers"", ""Wifi"", ""Long term stays allowed""]"
Private room,1,0,,$37.00,"[""Dedicated workspace"", ""Refrigerator"", ""Lock on bedroom door"", ""Hot water"", ""Heating"", ""Bed linens"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Long term stays allowed""]"
Private room,1,0,,$37.00,"[""Backyard"", ""Dedicated workspace"", ""Gym"", ""Hot water"", ""Heating"", ""Smoke alarm"", ""Patio or balcony"", ""TV"", ""Kitchen"", ""Outdoor furniture"", ""Dryer"", ""Hangers"", ""Washer"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Air conditioning""]"
Private room,1,1,1,$37.00,"[""Lock on bedroom door"", ""Heating"", ""Smoke alarm"", ""Kitchen"", ""Air conditioning"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
Private room,1,0,,$37.00,"[""Dedicated workspace"", ""Heating"", ""43\"" HDTV"", ""Smoke alarm"", ""Kitchen"", ""Stove"", ""Hangers"", ""Dryer"", ""Washer"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
Private room,1,1,4,$37.00,"[""Dedicated workspace"", ""Lock on bedroom door"", ""Smoke alarm"", ""Cooking basics"", ""Hangers"", ""Air conditioning"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
